T,M,Time
1,1,0.686319
1,10,24.862416
1,20,44.211416
1,30,67.760275
1,40,71.929444
1,50,83.127839
1,100,79.877125
10,1,1.104320
10,10,3.592459
10,20,6.364366
10,30,7.961102
10,40,9.353913
10,50,9.400697
10,100,9.977727
20,1,0.768937
20,10,2.349921
20,20,3.244322
20,30,4.568458
20,40,4.903635
20,50,6.479529
20,100,6.470679
