T,M,Time
1,1,0.103151
1,10,3.957158
1,20,2.229525
1,30,12.152614
1,40,5.099543
1,50,2.626216
1,100,3.927516
10,1,0.360993
10,10,0.629228
10,20,2.561126
10,30,0.425068
10,40,1.795336
10,50,0.571986
10,100,1.010905
20,1,0.043988
20,10,0.278315
20,20,0.133536
20,30,0.599828
20,40,0.189134
20,50,0.534149
20,100,0.853702
