T,M,Time
1,1,0.007362
1,10,0.173094
1,20,0.099805
1,30,0.148959
1,40,0.102045
1,50,0.050049
1,100,0.100609
10,1,0.001612
10,10,0.041931
10,20,0.115199
10,30,0.048822
10,40,0.121674
10,50,0.139971
10,100,0.157437
20,1,0.007013
20,10,0.043805
20,20,0.261262
20,30,0.249301
20,40,0.334035
20,50,0.097579
20,100,0.126177
